town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Vídeň,6,20,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=40&xokrsek=2,1000002,3.43
Vídeň,9,345,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=40&xokrsek=2,1000002,68.62
Brusel,6,82,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=56&xokrsek=3,1000003,5.67
Brusel,9,610,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=56&xokrsek=3,1000003,59.43
Sarajevo,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=70&xokrsek=4,1000004,7.69
Sarajevo,9,6,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=70&xokrsek=4,1000004,38.46
Sofie,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=100&xokrsek=5,1000005,26.08
Sofie,9,22,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=100&xokrsek=5,1000005,47.82
Minsk,6,11,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=112&xokrsek=6,1000006,7.14
Minsk,9,14,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=112&xokrsek=6,1000006,50.00
Záhřeb,6,10,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=191&xokrsek=7,1000007,11.11
Záhřeb,9,25,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=191&xokrsek=7,1000007,55.55
Kodaň,6,12,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=208&xokrsek=8,1000008,6.86
Kodaň,9,88,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=208&xokrsek=8,1000008,55.88
Tallinn,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=233&xokrsek=9,1000009,17.39
Tallinn,9,22,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=233&xokrsek=9,1000009,47.82
Helsinky,6,10,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=246&xokrsek=10,1000010,9.37
Helsinky,9,92,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=246&xokrsek=10,1000010,64.58
Paříž,6,50,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=250&xokrsek=11,1000011,4.32
Paříž,9,395,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=250&xokrsek=11,1000011,55.24
Berlín,6,16,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=12,1000012,3.08
Berlín,9,200,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=12,1000012,67.28
Drážďany,6,9,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=13,1000013,8.62
Drážďany,9,68,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=13,1000013,51.72
Mnichov,6,32,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=14,1000014,5.46
Mnichov,9,326,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=14,1000014,60.93
Düsseldorf,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=276&xokrsek=15,1000015,5.45
